# ORF = yeast systematic name
# Total.TPM.mean = average transcripts per million (TPM) at 30C, Wallace
# Occ.mean = ribosome-bound fraction of mRNA, Bard
# LengthTxEst = estimated transcript length
ORF	Total.TPM.mean	Occ.mean	LengthTxEst
YAL001C	26.810222539377285	0.7724870728894799	3654
YAL002W	13.639239657720877	0.7391093456288582	3976
YAL003W	3066.8615962367016	0.9281870450182406	864
YAL005C	1064.8434464564696	0.9517539098464634	2137
YAL007C	175.72262999791795	0.8979670852217095	863
YAL008W	22.137350280738488	0.953488788531884	777
YAL009W	18.78440267450199	0.784309864355802	917
YAL010C	14.274626313900116	0.7623538620052102	1625
YAL011W	12.66534081392733	0.7083410523945228	1998
YAL012W	321.86124654256156	0.927677420464593	1339
YAL013W	10.386896554678032	0.8246047389034528	1353
YAL014C	46.38651324048168	0.7662493868227309	956
YAL015C	15.876931934432388	0.884414054543792	1266
YAL016W	104.40775376287684	0.9109936664324738	2073
YAL017W	27.870979341559018	0.8210153409883185	4242
YAL019W	54.42091231943003	0.8346756849267465	3555
YAL020C	2.5145768347439432	0.8082061887943158	1131
YAL021C	47.99631415878068	0.873528045758089	2805
YAL022C	47.83997423273799	0.8043212896368155	1634
YAL023C	206.27436785236915	0.8648590959033166	2495
YAL024C	16.671924242443065	0.7601846887854771	4479
YAL025C	48.155531745241696	0.8842830356201221	1137
YAL026C	52.0836440629594	0.8313198088121025	4298
YAL027W	11.588808478726666	0.7966672838013096	967
YAL028W	4.8752423719689135	0.6802385609771564	1681
YAL029C	41.537716743424944	0.824182374486384	4729
YAL030W	80.91762228799713	0.8943667470223928	509
YAL031C	15.541500909690043	0.7640487860753967	2450
YAL032C	23.25140793945548	0.8338707225120714	1291
YAL033W	52.7701754130053	0.8707603030228117	611
YAL034C	10.625690269756907	0.5987369067768551	1976
YAL034W-A	10.749378627695366	0.8609747038001573	984
YAL035W	243.24438476172668	0.9064789621542152	3164
YAL036C	68.74994286990417	0.932379699928515	1340
YAL038W	7275.090108584739	0.9312846807000824	1688
YAL039C	11.501154681818967	0.8430990076890719	935
YAL040C	13.478211119455189	0.7068025265411287	2241
YAL041W	35.13973692208983	0.818714131976247	2691
YAL042W	187.80837376167247	0.8805563012253372	1371
YAL043C	36.61538057890571	0.8209387933142632	2461
YAL044C	137.67582689811363	0.92596884342462	616
YAL044W-A	80.18522429886497	0.8284666642134548	476
YAL046C	73.2644170291655	0.9342757325121678	503
YAL047C	11.328700745071377	0.8269624519479521	1953
YAL048C	12.908471473236297	0.7457497788123888	2160
YAL049C	69.50698733105304	0.9145152851308924	926
YAL051W	18.70743065624319	0.6947241780843073	3252
YAL053W	47.56934443914736	0.8608311322000071	2557
YAL054C	2.226978599228054	0.5140224114375254	2356
YAL055W	4.331421102903157	0.892553259584606	644
YAL056W	27.08100001632091	0.8087084343308732	2781
YAL058W	24.96039734154306	0.8292586453642196	1690
YAL059W	92.83070895291868	0.939973461699785	842
YAL060W	62.60813287161488	0.7961702173207952	1309
YAL062W	3.744360561528675	0.6046718387282046	1498
YAR002C-A	290.2796631413614	0.9176496256795388	801
YAR002W	51.01595540898197	0.8487771481159112	1762
YAR003W	9.196314371566372	0.7966407841510916	1837
YAR007C	60.717414250970926	0.9016924020387912	2002
YAR008W	18.953190969612983	0.9133991825711678	1014
YAR014C	48.87977240730525	0.8833741548602956	2453
YAR015W	106.95255549429136	0.9431866436487756	1130
YAR018C	27.44124818092404	0.8270222335871217	1435
YAR019C	7.417859132196654	0.7790097454714382	3015
YAR027W	43.639089972378656	0.8736360735499787	887
YAR031W	12.164957948785286	0.8987562550370531	1068
YAR033W	14.639679570762324	0.8616689140380294	858
YAR035W	2.746122340865556	0.5186670974816854	2212
YAR042W	36.24586038021503	0.7969325770998326	3767
YAR050W	1.310439837756086	0.8831945095477096	4785
YAR071W	17.609081515559215	0.8076277772986525	1575
YBL001C	177.57118328713423	0.9267623503950992	456
YBL002W	920.130803727293	0.9026542221985656	661
YBL003C	531.169580474595	0.9208174412838028	629
YBL004W	121.2954934485046	0.8737920919880511	7653
YBL005W	17.96799085037961	0.6640270234817436	3278
YBL006C	65.63217852876589	0.8244951241092502	746
YBL007C	128.08534961580705	0.8719525203173428	3871
YBL008W	19.967890288608924	0.8096110660803313	2668
YBL009W	21.224376410207597	0.8417592171455598	2183
YBL010C	9.338687690624154	0.8339725219325216	1071
YBL011W	72.00703958924291	0.7256620458290908	2554
YBL013W	6.469425027339108	0.6321294829947699	1377
YBL014C	22.877854624315063	0.6994592817531968	2831
YBL015W	29.394593933614587	0.898608938405187	1917
YBL016W	40.46740405596629	0.8323917492342483	1233
YBL017C	78.05776596626922	0.8140449253129677	4911
YBL018C	44.29700015213688	0.802526905150635	508
YBL019W	9.344630545743067	0.7843081028831786	1715
YBL020W	44.29175276436085	0.8344078892805742	1860
YBL021C	21.156872545340537	0.8422919136183901	637
YBL022C	100.38188846872902	0.8611178919574706	3597
YBL023C	28.48790725014585	0.8748033831022962	2856
YBL024W	127.31093109239004	0.8945633690404069	2203
YBL025W	15.567669187832514	0.8486283252426553	962
YBL026W	232.29289227405215	0.8781182502256502	487
YBL027W	4263.663711162952	0.950180314654134	697
YBL028C	203.6931302564795	0.8983331434249174	577
YBL029C-A	38.8623300987771	0.7582014363043894	503
YBL030C	201.2598409419381	0.925104019414771	1345
YBL031W	18.808174368704627	0.7942390729477017	1197
YBL032W	109.3683958764731	0.9211334959317096	1425
YBL033C	34.582793043822214	0.8859390683363262	1136
YBL034C	18.99809355083102	0.7767057547470824	4713
YBL035C	25.89924072221604	0.7593242904138728	2262
YBL036C	83.59069516816393	0.9420954856506778	933
YBL037W	25.05505956288352	0.8031964561430582	3308
YBL038W	50.89607410732034	0.8299564183462558	854
YBL039C	235.5479810405835	0.9217302957411846	1989
YBL040C	107.3525387577597	0.8494332377751719	797
YBL041W	155.32657304882508	0.9229282897983332	836
YBL042C	60.16533573658497	0.7502228581730757	2121
YBL043W	5.0845404642987155	NA	1090
YBL045C	105.25282425863983	0.9167495037036736	1731
YBL046W	10.466065730675878	0.8951644422336645	1509
YBL047C	116.55032603887511	0.8839126078247286	4448
YBL049W	2.2496395098897057	0.9133057067436166	737
YBL050W	47.17399146131816	0.9071759611217476	1013
YBL051C	45.414608017057816	0.8306432485497707	2517
YBL052C	29.67973432238784	0.7225247348753088	2805
YBL054W	27.103726552579875	0.7752387606543292	1838
YBL055C	39.49744314129363	0.8087594967261512	1710
YBL056W	140.5646274581122	0.8699643945379447	1758
YBL057C	85.44923210711111	0.8944898216951829	725
YBL058W	117.50643629638844	0.9040328783364604	1420
YBL059C-A	76.89363255723767	0.845728123613736	525
YBL060W	7.628959951478728	0.6455848549232586	2120
YBL061C	38.61314550789951	0.8183247184140925	2259
YBL063W	11.596996373530809	0.7988255389725607	3414
