Treatment,Bio_rep,ImageNumber,Parent_Cell,Cell_Parent_Children_stress_granule_Count,Stress
7.5%,BioRep1,10,3,0,EtOH
7.5%,BioRep1,10,4,0,EtOH
7.5%,BioRep1,10,5,2,EtOH
7.5%,BioRep1,10,6,0,EtOH
7.5%,BioRep1,10,7,0,EtOH
7.5%,BioRep1,10,8,1,EtOH
7.5%,BioRep1,10,9,0,EtOH
7.5%,BioRep1,10,10,0,EtOH
7.5%,BioRep1,10,11,0,EtOH
7.5%,BioRep1,10,12,0,EtOH
7.5%,BioRep1,10,13,0,EtOH
7.5%,BioRep1,10,14,1,EtOH
7.5%,BioRep1,10,15,1,EtOH
7.5%,BioRep1,10,16,0,EtOH
7.5%,BioRep1,10,17,0,EtOH
7.5%,BioRep1,10,18,1,EtOH
7.5%,BioRep1,10,19,0,EtOH
7.5%,BioRep1,10,20,0,EtOH
7.5%,BioRep1,10,21,1,EtOH
7.5%,BioRep1,10,22,2,EtOH
7.5%,BioRep1,10,23,0,EtOH
7.5%,BioRep1,10,24,0,EtOH
7.5%,BioRep1,11,1,0,EtOH
7.5%,BioRep1,11,2,0,EtOH
7.5%,BioRep1,11,3,0,EtOH
7.5%,BioRep1,11,4,0,EtOH
7.5%,BioRep1,11,5,0,EtOH
7.5%,BioRep1,11,6,0,EtOH
7.5%,BioRep1,11,7,0,EtOH
7.5%,BioRep1,11,8,0,EtOH
7.5%,BioRep1,11,9,0,EtOH
7.5%,BioRep1,11,10,0,EtOH
7.5%,BioRep1,11,11,0,EtOH
7.5%,BioRep1,11,12,0,EtOH
7.5%,BioRep1,11,13,0,EtOH
7.5%,BioRep1,11,14,0,EtOH
7.5%,BioRep1,11,15,0,EtOH
7.5%,BioRep1,11,16,0,EtOH
7.5%,BioRep1,11,17,0,EtOH
7.5%,BioRep1,11,18,0,EtOH
7.5%,BioRep1,11,19,0,EtOH
7.5%,BioRep1,11,20,0,EtOH
7.5%,BioRep1,11,21,0,EtOH
7.5%,BioRep1,11,22,0,EtOH
7.5%,BioRep1,11,23,0,EtOH
7.5%,BioRep1,11,24,0,EtOH
7.5%,BioRep1,11,25,0,EtOH
7.5%,BioRep1,11,26,0,EtOH
7.5%,BioRep1,11,27,0,EtOH
7.5%,BioRep1,11,28,0,EtOH
7.5%,BioRep1,11,29,0,EtOH
7.5%,BioRep1,11,30,0,EtOH
7.5%,BioRep1,12,1,0,EtOH
7.5%,BioRep1,12,2,0,EtOH
7.5%,BioRep1,12,3,0,EtOH
7.5%,BioRep1,12,4,0,EtOH
7.5%,BioRep1,12,5,0,EtOH
7.5%,BioRep1,12,6,0,EtOH
7.5%,BioRep1,12,7,1,EtOH
7.5%,BioRep1,12,8,0,EtOH
7.5%,BioRep1,12,9,1,EtOH
7.5%,BioRep1,12,10,0,EtOH
7.5%,BioRep1,12,11,0,EtOH
7.5%,BioRep1,12,12,0,EtOH
7.5%,BioRep1,12,13,0,EtOH
7.5%,BioRep1,12,14,0,EtOH
7.5%,BioRep1,12,15,0,EtOH
7.5%,BioRep1,12,16,0,EtOH
7.5%,BioRep1,12,17,0,EtOH
7.5%,BioRep1,12,18,0,EtOH
7.5%,BioRep1,12,19,0,EtOH
7.5%,BioRep1,12,20,0,EtOH
7.5%,BioRep1,12,21,0,EtOH
7.5%,BioRep1,12,22,0,EtOH
7.5%,BioRep1,12,23,0,EtOH
7.5%,BioRep1,12,24,1,EtOH
7.5%,BioRep1,12,25,0,EtOH
7.5%,BioRep1,12,26,0,EtOH
7.5%,BioRep1,12,27,0,EtOH
7.5%,BioRep1,13,1,0,EtOH
7.5%,BioRep1,13,2,0,EtOH
7.5%,BioRep1,13,3,0,EtOH
7.5%,BioRep1,13,4,0,EtOH
7.5%,BioRep1,13,5,0,EtOH
7.5%,BioRep1,13,6,0,EtOH
7.5%,BioRep1,13,7,0,EtOH
7.5%,BioRep1,13,8,0,EtOH
7.5%,BioRep1,13,9,0,EtOH
7.5%,BioRep1,13,10,0,EtOH
7.5%,BioRep1,13,11,0,EtOH
7.5%,BioRep1,13,12,0,EtOH
7.5%,BioRep1,13,13,0,EtOH
7.5%,BioRep1,13,14,0,EtOH
7.5%,BioRep1,13,15,0,EtOH
7.5%,BioRep1,13,16,0,EtOH
7.5%,BioRep1,13,17,0,EtOH
0%,BioRep1,1,1,0,EtOH
0%,BioRep1,1,2,0,EtOH
0%,BioRep1,1,3,0,EtOH
0%,BioRep1,1,4,1,EtOH
0%,BioRep1,1,5,1,EtOH
0%,BioRep1,1,6,1,EtOH
0%,BioRep1,1,7,0,EtOH
0%,BioRep1,1,8,0,EtOH
0%,BioRep1,1,9,0,EtOH
0%,BioRep1,1,10,0,EtOH
0%,BioRep1,1,11,0,EtOH
0%,BioRep1,2,1,0,EtOH
0%,BioRep1,2,2,0,EtOH
0%,BioRep1,2,3,0,EtOH
0%,BioRep1,2,4,0,EtOH
0%,BioRep1,2,5,0,EtOH
0%,BioRep1,2,6,0,EtOH
0%,BioRep1,2,7,0,EtOH
0%,BioRep1,2,8,0,EtOH
0%,BioRep1,2,9,0,EtOH
0%,BioRep1,2,10,0,EtOH
0%,BioRep1,2,11,0,EtOH
0%,BioRep1,2,12,0,EtOH
0%,BioRep1,2,13,1,EtOH
0%,BioRep1,2,14,0,EtOH
0%,BioRep1,2,15,0,EtOH
0%,BioRep1,2,16,0,EtOH
0%,BioRep1,2,17,0,EtOH
0%,BioRep1,2,18,0,EtOH
0%,BioRep1,2,19,0,EtOH
0%,BioRep1,2,20,0,EtOH
0%,BioRep1,2,21,0,EtOH
0%,BioRep1,2,22,0,EtOH
0%,BioRep1,2,23,1,EtOH
0%,BioRep1,2,24,0,EtOH
0%,BioRep1,2,25,0,EtOH
0%,BioRep1,2,26,0,EtOH
0%,BioRep1,2,27,0,EtOH
0%,BioRep1,2,28,0,EtOH
0%,BioRep1,3,1,0,EtOH
0%,BioRep1,3,2,0,EtOH
0%,BioRep1,3,3,0,EtOH
0%,BioRep1,3,4,0,EtOH
0%,BioRep1,3,5,0,EtOH
0%,BioRep1,3,6,0,EtOH
0%,BioRep1,3,7,0,EtOH
0%,BioRep1,3,8,0,EtOH
0%,BioRep1,3,9,0,EtOH
0%,BioRep1,3,10,0,EtOH
0%,BioRep1,3,11,0,EtOH
0%,BioRep1,3,12,0,EtOH
0%,BioRep1,3,13,0,EtOH
0%,BioRep1,3,14,0,EtOH
0%,BioRep1,3,15,0,EtOH
0%,BioRep1,3,16,0,EtOH
0%,BioRep1,3,17,0,EtOH
0%,BioRep1,3,18,0,EtOH
0%,BioRep1,3,19,0,EtOH
0%,BioRep1,3,20,0,EtOH
0%,BioRep1,3,21,0,EtOH
0%,BioRep1,3,22,0,EtOH
0%,BioRep1,3,23,0,EtOH
0%,BioRep1,4,1,0,EtOH
0%,BioRep1,4,2,0,EtOH
0%,BioRep1,4,3,0,EtOH
0%,BioRep1,4,4,0,EtOH
0%,BioRep1,4,5,0,EtOH
0%,BioRep1,4,6,0,EtOH
0%,BioRep1,4,7,0,EtOH
0%,BioRep1,4,8,0,EtOH
0%,BioRep1,4,9,0,EtOH
0%,BioRep1,4,10,0,EtOH
0%,BioRep1,4,11,0,EtOH
0%,BioRep1,4,12,0,EtOH
0%,BioRep1,4,13,0,EtOH
0%,BioRep1,4,14,0,EtOH
0%,BioRep1,4,15,0,EtOH
0%,BioRep1,4,16,0,EtOH
0%,BioRep1,4,17,0,EtOH
0%,BioRep1,5,1,0,EtOH
0%,BioRep1,5,2,0,EtOH
0%,BioRep1,5,3,0,EtOH
0%,BioRep1,5,4,0,EtOH
0%,BioRep1,5,5,0,EtOH
0%,BioRep1,5,6,0,EtOH
0%,BioRep1,5,7,0,EtOH
0%,BioRep1,5,8,0,EtOH
0%,BioRep1,5,9,0,EtOH
0%,BioRep1,5,10,0,EtOH
0%,BioRep1,5,11,0,EtOH
0%,BioRep1,5,12,0,EtOH
0%,BioRep1,5,13,0,EtOH
0%,BioRep1,6,1,0,EtOH
0%,BioRep1,6,2,0,EtOH
0%,BioRep1,6,3,1,EtOH
0%,BioRep1,6,4,0,EtOH
0%,BioRep1,6,5,0,EtOH
0%,BioRep1,6,6,0,EtOH
0%,BioRep1,6,7,0,EtOH
0%,BioRep1,6,8,0,EtOH
0%,BioRep1,6,9,0,EtOH
0%,BioRep1,6,10,0,EtOH
0%,BioRep1,6,11,0,EtOH
0%,BioRep1,6,12,1,EtOH
0%,BioRep1,6,13,0,EtOH
0%,BioRep1,6,14,0,EtOH
0%,BioRep1,6,15,0,EtOH
0%,BioRep1,7,1,0,EtOH
0%,BioRep1,7,2,0,EtOH
0%,BioRep1,7,3,0,EtOH
0%,BioRep1,7,4,1,EtOH
0%,BioRep1,7,5,0,EtOH
0%,BioRep1,7,6,1,EtOH
0%,BioRep1,7,7,0,EtOH
0%,BioRep1,7,8,0,EtOH
0%,BioRep1,7,9,0,EtOH
0%,BioRep1,8,1,0,EtOH
0%,BioRep1,8,2,0,EtOH
0%,BioRep1,8,3,0,EtOH
0%,BioRep1,8,4,0,EtOH
0%,BioRep1,8,5,0,EtOH
0%,BioRep1,8,6,0,EtOH
0%,BioRep1,8,7,0,EtOH
0%,BioRep1,8,8,0,EtOH
0%,BioRep1,8,9,0,EtOH
0%,BioRep1,8,10,0,EtOH
0%,BioRep1,8,11,0,EtOH
0%,BioRep1,8,12,0,EtOH
0%,BioRep1,8,13,0,EtOH
0%,BioRep1,8,14,0,EtOH
0%,BioRep1,8,15,1,EtOH
0%,BioRep1,8,16,0,EtOH
0%,BioRep1,8,17,0,EtOH
0%,BioRep1,8,18,0,EtOH
0%,BioRep1,8,19,0,EtOH
0%,BioRep1,8,20,0,EtOH
0%,BioRep1,8,21,0,EtOH
0%,BioRep1,8,22,0,EtOH
0%,BioRep1,8,23,0,EtOH
0%,BioRep1,9,1,0,EtOH
0%,BioRep1,9,2,0,EtOH
0%,BioRep1,9,3,0,EtOH
0%,BioRep1,9,4,0,EtOH
0%,BioRep1,9,5,0,EtOH
0%,BioRep1,9,6,0,EtOH
0%,BioRep1,9,7,0,EtOH
0%,BioRep1,9,8,0,EtOH
0%,BioRep1,9,9,0,EtOH
0%,BioRep1,9,10,0,EtOH
0%,BioRep1,10,1,0,EtOH
0%,BioRep1,10,2,0,EtOH
0%,BioRep1,10,3,0,EtOH
0%,BioRep1,10,4,0,EtOH
0%,BioRep1,10,5,0,EtOH
0%,BioRep1,10,6,0,EtOH
0%,BioRep1,10,7,0,EtOH
0%,BioRep1,10,8,0,EtOH
0%,BioRep1,10,9,1,EtOH
0%,BioRep1,10,10,0,EtOH
0%,BioRep1,10,11,0,EtOH
0%,BioRep1,11,1,0,EtOH
0%,BioRep1,11,2,0,EtOH
0%,BioRep1,11,3,0,EtOH
0%,BioRep1,11,4,2,EtOH
0%,BioRep1,11,5,0,EtOH
0%,BioRep1,11,6,0,EtOH
0%,BioRep1,11,7,0,EtOH
0%,BioRep1,11,8,0,EtOH
0%,BioRep1,11,9,0,EtOH
0%,BioRep1,11,10,0,EtOH
0%,BioRep1,12,1,0,EtOH
0%,BioRep1,12,2,0,EtOH
0%,BioRep1,12,3,0,EtOH
0%,BioRep1,12,4,0,EtOH
0%,BioRep1,12,5,0,EtOH
0%,BioRep1,12,6,0,EtOH
0%,BioRep1,12,7,0,EtOH
0%,BioRep1,12,8,0,EtOH
0%,BioRep1,12,9,0,EtOH
0%,BioRep1,13,1,0,EtOH
0%,BioRep1,13,2,0,EtOH
0%,BioRep1,13,3,0,EtOH
0%,BioRep1,13,4,0,EtOH
0%,BioRep1,13,5,0,EtOH
0%,BioRep1,13,6,0,EtOH
0%,BioRep1,14,1,0,EtOH
0%,BioRep1,14,2,0,EtOH
0%,BioRep1,14,3,0,EtOH
0%,BioRep1,14,4,0,EtOH
0%,BioRep1,14,5,0,EtOH
0%,BioRep1,14,6,0,EtOH
0%,BioRep1,14,7,0,EtOH
0%,BioRep1,14,8,0,EtOH
0%,BioRep1,14,9,0,EtOH
0%,BioRep1,14,10,0,EtOH
0%,BioRep1,14,11,0,EtOH
0%,BioRep1,14,12,0,EtOH
0%,BioRep1,14,13,0,EtOH
0%,BioRep1,14,14,0,EtOH
0%,BioRep1,15,1,0,EtOH
0%,BioRep1,15,2,0,EtOH
0%,BioRep1,15,3,0,EtOH
0%,BioRep1,15,4,0,EtOH
0%,BioRep1,15,5,0,EtOH
0%,BioRep1,15,6,0,EtOH
0%,BioRep1,15,7,0,EtOH
0%,BioRep1,15,8,0,EtOH
0%,BioRep1,16,1,0,EtOH
0%,BioRep1,16,2,0,EtOH
0%,BioRep1,16,3,0,EtOH
0%,BioRep1,16,4,0,EtOH
0%,BioRep1,16,5,0,EtOH
0%,BioRep1,16,6,0,EtOH
0%,BioRep1,16,7,0,EtOH
0%,BioRep1,16,8,0,EtOH
0%,BioRep1,16,9,0,EtOH
0%,BioRep1,16,10,0,EtOH
0%,BioRep1,16,11,0,EtOH
0%,BioRep1,16,12,0,EtOH
0%,BioRep1,17,1,0,EtOH
0%,BioRep1,17,2,0,EtOH
0%,BioRep1,17,3,0,EtOH
0%,BioRep1,17,4,0,EtOH
0%,BioRep1,17,5,0,EtOH
0%,BioRep1,17,6,0,EtOH
0%,BioRep1,18,1,0,EtOH
0%,BioRep1,18,2,0,EtOH
0%,BioRep1,18,3,0,EtOH
0%,BioRep1,18,4,0,EtOH
0%,BioRep1,18,5,0,EtOH
0%,BioRep1,18,6,0,EtOH
0%,BioRep1,18,7,0,EtOH
0%,BioRep1,18,8,0,EtOH
0%,BioRep1,19,1,0,EtOH
0%,BioRep1,19,2,0,EtOH
0%,BioRep1,19,3,0,EtOH
0%,BioRep1,19,4,0,EtOH
0%,BioRep1,19,5,0,EtOH
0%,BioRep1,19,6,0,EtOH
0%,BioRep1,19,7,0,EtOH
0%,BioRep1,19,8,0,EtOH
0%,BioRep1,19,9,0,EtOH
0%,BioRep1,19,10,0,EtOH
0%,BioRep1,19,11,0,EtOH
0%,BioRep1,19,12,0,EtOH
0%,BioRep1,19,13,0,EtOH
0%,BioRep1,19,14,0,EtOH
0%,BioRep1,19,15,0,EtOH
0%,BioRep1,19,16,0,EtOH
0%,BioRep1,19,17,0,EtOH
0%,BioRep1,19,18,0,EtOH
0%,BioRep1,19,19,0,EtOH
0%,BioRep1,19,20,0,EtOH
0%,BioRep1,19,21,0,EtOH
0%,BioRep1,19,22,0,EtOH
0%,BioRep1,19,23,0,EtOH
0%,BioRep1,19,24,0,EtOH
0%,BioRep1,19,25,0,EtOH
0%,BioRep1,19,26,0,EtOH
0%,BioRep1,20,1,0,EtOH
0%,BioRep1,20,2,0,EtOH
0%,BioRep1,20,3,0,EtOH
0%,BioRep1,20,4,0,EtOH
0%,BioRep1,20,5,0,EtOH
0%,BioRep1,20,6,0,EtOH
0%,BioRep1,20,7,0,EtOH
0%,BioRep1,20,8,0,EtOH
0%,BioRep1,20,9,0,EtOH
0%,BioRep1,20,10,0,EtOH
0%,BioRep1,21,1,0,EtOH
0%,BioRep1,21,2,0,EtOH
0%,BioRep1,21,3,0,EtOH
0%,BioRep1,21,4,0,EtOH
0%,BioRep1,21,5,0,EtOH
0%,BioRep1,21,6,0,EtOH
0%,BioRep1,21,7,0,EtOH
0%,BioRep1,21,8,0,EtOH
0%,BioRep1,21,9,0,EtOH
0%,BioRep1,21,10,0,EtOH
0%,BioRep1,21,11,0,EtOH
0%,BioRep1,21,12,0,EtOH
0%,BioRep1,21,13,0,EtOH
